N_up,&,N_down,&,Multiplicity ,&,Entropy (S / kB),&,Energy,\\,\hline
0,&,100,&,1,&,0,&,100,\\,
1,&,99,&,100,&,4.605170186,&,98,\\,
2,&,98,&,4950,&,8.507142856,&,96,\\,
3,&,97,&,161700,&,11.99349805,&,94,\\,
4,&,96,&,3921225,&,15.18191466,&,92,\\,
5,&,95,&,75287520,&,18.13682494,&,90,\\,
…,&,…,&,…,&,…,&,…,\\,
95,&,5,&,75287520,&,18.13682494,&,-90,\\,
96,&,4,&,3921225,&,15.18191466,&,-92,\\,
97,&,3,&,161700,&,11.99349805,&,-94,\\,
98,&,2,&,4950,&,8.507142856,&,-96,\\,
99,&,1,&,100,&,4.605170186,&,-98,\\,
100,&,0,&,1,&,0,&,-100,\\,
