Temperature (K),Magnetic Field (T),Average Up Spins,Magnetization (J/T),Susceptibility (J/T²),Free Energy (J)
1.0,0.0,500.0,0.0,2.0764890521293488e-21,-9.569929616929081e-21
1.2742749857031337,0.0,500.0,0.0,1.629545486984162e-21,-1.21947219257923e-20
1.6237767391887217,0.0,500.0,0.0,1.2788020680520483e-21,-1.5539429107642675e-20
2.0691380811147897,0.0,500.0,0.0,1.0035526730099127e-21,-1.9801505803976233e-20
2.636650898730358,0.0,500.0,0.0,7.875479659173889e-22,-2.5232563525262334e-20
3.3598182862837818,0.0,500.0,0.0,6.180361183836838e-22,-3.2153224525407074e-20
4.281332398719393,0.0,500.0,0.0,4.850100059389119e-22,-4.097204972242275e-20
5.455594781168519,0.0,500.0,0.0,3.8061643788078253e-22,-5.2209658074268334e-20
6.951927961775605,0.0,500.0,0.0,2.986925445066017e-22,-6.652946129615378e-20
8.858667904100825,0.0,500.0,0.0,2.344019523712033e-22,-8.477682834199355e-20
11.28837891684689,0.0,500.0,0.0,1.839492691931501e-22,-1.0802899172345086e-19
14.38449888287663,0.0,500.0,0.0,1.4435602303818944e-22,-1.3765864188392433e-19
18.329807108324356,0.0,500.0,0.0,1.1328482835950444e-22,-1.7541496391855045e-19
23.357214690901213,0.0,500.0,0.0,8.890139854467508e-23,-2.2352690063942654e-19
29.76351441631318,0.0,500.0,0.0,6.976625888612265e-23,-2.848347381165711e-19
37.926901907322495,0.0,500.0,0.0,5.474976725500597e-23,-3.629577818412496e-19
48.32930238571752,0.0,500.0,0.0,4.2965425727787907e-23,-4.625080222665994e-19
61.584821106602604,0.0,500.0,0.0,3.371754622027676e-23,-5.8936240346135535e-19
78.47599703514611,0.0,500.0,0.0,2.6460180572148405e-23,-7.510097682446835e-19
100.0,0.0,500.0,0.0,2.0764890521293488e-23,-9.56992961692908e-19
1.0,0.25,583.1836778627913,1.542890856999054e-21,6.171563427996216e-21,-9.763692337713554e-21
1.2742749857031337,0.25,565.5128799974565,1.215132898192823e-21,4.860531592771292e-21,-1.2347051663413298e-20
1.6237767391887217,0.25,551.5255988421936,9.556968073250076e-22,3.82278722930003e-21,-1.5659103702253265e-20
2.0691380811147897,0.25,540.4904204719155,7.51016318913089e-22,3.004065275652356e-21,-1.9895485765111158e-20
2.636650898730358,0.25,531.8020063000913,5.898636128540936e-22,2.3594544514163744e-21,-2.5306346285037136e-20
3.3598182862837818,0.25,524.9698883731447,4.631414895450885e-22,1.852565958180354e-21,-3.22111413035297e-20
4.281332398719393,0.25,519.6016322805374,3.635710755394075e-22,1.45428430215763e-21,-4.101750775628298e-20
5.455594781168519,0.25,515.3856053118993,2.853722073251087e-22,1.1414888293004349e-21,-5.22453352320404e-20
6.951927961775605,0.25,512.0754715952385,2.239758471484831e-22,8.959033885939325e-22,-6.655746099941252e-20
8.858667904100825,0.25,509.4770546448028,1.7578040955180272e-22,7.031216382072109e-22,-8.479880220904489e-20
11.28837891684689,0.25,507.4375553014105,1.3795177573056193e-22,5.518071029222477e-22,-1.0804623633140869e-19
14.38449888287663,0.25,505.8368610654623,1.0826209904219478e-22,4.330483961687791e-22,-1.376721749536888e-19
18.329807108324356,0.25,504.5806148517623,8.496124427048672e-23,3.398449770819469e-22,-1.7542558422264503e-19
23.357214690901213,0.25,503.59472180863645,6.667490010658888e-23,2.666996004263555e-22,-2.2353523507373944e-19
29.76351441631318,0.25,502.82101245159737,5.2324138952228003e-23,2.0929655580891201e-22,-2.848412786686408e-19
37.926901907322495,0.25,502.21382667186117,4.106205710968099e-23,1.6424822843872395e-22,-3.6296291461515896e-19
48.32930238571752,0.25,501.73732691463636,3.2223939612675123e-23,1.288957584507005e-22,-4.625120502671561e-19
